A,B,商品名稱,重量,熱量,蛋白質,脂肪,碳水化合物,糖,膳食纖維,淨碳
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,鹹麥麩皮吐司,100,22.2,1.4,0.4,5.7,0,4.9,0.8
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,甜麥麩皮吐司,100,26.9,2.2,0.5,5.8,0,4.8,1
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,巧克力麥麩皮吐司,100,32.8,2.5,0.8,6.5,0,5.2,1.3
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,咖啡麥麩皮吐司,100,28,2.2,0.6,5.8,0,4.7,1.1
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,葡萄乾麥麩皮吐司,100,46.3,2.3,0.5,10.6,0,4.9,5.7
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,咖啡核桃麥麩皮吐司,100,50.4,2.6,2.8,6.1,0.1,4.8,1.3
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,香椰麥麩皮吐司,100,50.3,2.4,2.7,6.6,0.1,5,1.6
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,原味肉桂捲,30,11.3,1.1,0.3,1.8,0,1.5,0.3
麥麩皮|吐司|麵包|PIZZA,麥麩皮|吐司,甜芋頭麥麩皮吐司,100,26.9,2.2,0.5,5.8,0,4.8,1
麥麩皮|吐司|麵包|PIZZA,麥麩皮|起士漢堡,麥麩皮吐司豬肉起士漢堡,185,103,12.2,3.6,8.6,0,6.2,2.4
麥麩皮|吐司|麵包|PIZZA,麥麩皮|起士漢堡,麥麩皮吐司牛肉起士漢堡,170,99.2,12.6,3.2,7.3,0,1.6,5.7
麥麩皮|吐司|麵包|PIZZA,麥麩皮|起士漢堡,麥麩皮吐司辣味雞肉漢堡,175,76.1,8,2.7,7.5,0,5.1,2.4
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,原味奶酥吐司|麥麩皮,120,41.3,3.1,1.1,7.4,0,5.3,2.1
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,葡萄奶酥吐司|麥麩皮,120,58.3,3.5,2,9.8,0,6.4,3.4
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,花生奶酥吐司|麥麩皮,120,46.6,3.4,1.4,8.5,0,6.7,1.8
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,鳳梨奶酥吐司|麥麩皮,120,43.1,2.9,1.3,7.6,0,5.3,2.3
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,香橙奶酥吐司|麥麩皮,120,43.2,3,1.4,7.3,0,5.3,2
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,可可奶酥吐司|麥麩皮,120,51.1,3.4,1.9,8,0,5.8,2.2
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,咖啡奶酥吐司|麥麩皮,120,51.1,3.4,1.9,8,0,5.8,2.2
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,抹茶奶酥吐司|麥麩皮,120,45.2,3.1,1.6,7.3,0,5.4,1.9
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,香椰奶酥吐司|麥麩皮,120,70.6,3.2,4,8.2,0,5.5,2.7
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,鹹蒜香奶酥吐司|麥麩皮,120,40,2.3,1.4,7.3,0,5.5,1.8
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,鹹金沙奶酥吐司|麥麩皮,120,41.6,2.4,1.6,7.1,0,5.4,1.7
麥麩皮|吐司|麵包|PIZZA,麥麩皮|奶酥吐司,鹹起士奶酥吐司|麥麩皮,120,45.2,2.6,1.8,7.3,0,5.3,2
麥麩皮|吐司|麵包|PIZZA,麥麩皮|PIZZA,六小福豬肉PIZZA|麥麩皮,160,75.3,10.2,1.9,6.6,0.6,4.5,2.1
麥麩皮|吐司|麵包|PIZZA,麥麩皮|PIZZA,墨魚海鮮PIZZA|麥麩皮,160,71.6,6.2,2.2,9,0.2,4.5,4.5
麥麩皮|吐司|麵包|PIZZA,麥麩皮|PIZZA,青醬嫩雞PIZZA|麥麩皮,180,101,11.2,3.1,9.4,0,4.5,4.9
麥麩皮|吐司|麵包|PIZZA,麥麩皮|PIZZA,打拋豬肉PIZZA|麥麩皮,150,76.2,9.2,2.4,6.5,0,4.1,2.4
麥麩皮|吐司|麵包|PIZZA,麥麩皮|PIZZA,壽喜燒牛PIZZA|麥麩皮,150,130,8,8.3,8.1,0,4.8,3.3
